"IDENTIFIANT";"NDEG_FINESS_RPPS";"ANNEE_DE_RECEPTION";"ENCOURS_NB_RECLA_TOTAL";"ENCOURS_NB_RECLA_MOTIF_10";"ENCOURS_NB_RECLA_MOTIF_11";"ENCOURS_NB_RECLA_MOTIF_12";"ENCOURS_NB_RECLA_MOTIF_13";"ENCOURS_NB_RECLA_MOTIF_14";"ENCOURS_NB_RECLA_MOTIF_15";"ENCOURS_NB_RECLA_MOTIF_16";"ENCOURS_NB_RECLA_MOTIF_17";"ENCOURS_NB_RECLA_MOTIF_18";"ENCOURS_NB_RECLA_MOTIF_19";"ENCOURS_NB_RECLA_MOTIF_155";"ENCOURS_NB_RECLA_MOTIF_156";"CLOT_NB_RECLA_TOTAL";"CLOT_NB_RECLA_MOTIF_10";"CLOT_NB_RECLA_MOTIF_11";"CLOT_NB_RECLA_MOTIF_12";"CLOT_NB_RECLA_MOTIF_13";"CLOT_NB_RECLA_MOTIF_14";"CLOT_NB_RECLA_MOTIF_15";"CLOT_NB_RECLA_MOTIF_16";"CLOT_NB_RECLA_MOTIF_17";"CLOT_NB_RECLA_MOTIF_18";"CLOT_NB_RECLA_MOTIF_19";"CLOT_NB_RECLA_MOTIF_155";"CLOT_NB_RECLA_MOTIF_156"
"2700008472022";"270000847";"2022";1;;;;;;1;;;;;;;3;;1;;;;3;;;;;;
"2700008472023";"270000847";"2023";2;;;;;;1;;;;;;;3;;;;;;2;;;;;;
"2700008622023";"270000862";"2023";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"2700008702022";"270000870";"2022";;;;;;;;;;;;;;2;2;;;;;;;;;;;
"2700008702023";"270000870";"2023";1;;;;;;;;;;;1;;1;1;;;;;;;;;;;
"2700009122021";"270000912";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"2700009122022";"270000912";"2022";2;;;1;;;1;1;;;;;1;1;;1;;;;1;;;;;;
"2700009122023";"270000912";"2023";1;;;;1;1;;;;;;1;;;;;;;;;;;;;;
"2700009202021";"270000920";"2021";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"2700009202022";"270000920";"2022";;;;;;;;;;;;;;3;2;;;;;1;;;1;;;
"2700009202023";"270000920";"2023";3;;;;;;1;;;;;;;1;1;;;;;;;;;;;
"2700009202024";"270000920";"2024";1;;;;;;;;;;;;;;;;;;;;;;;;;
"2700009792021";"270000979";"2021";4;;4;;;;;;;;;;;2;;;1;;;;;;;;;1
"2700009792022";"270000979";"2022";3;1;1;1;;;;;;;;;;1;;1;;;1;;;;;;;
"2700009792023";"270000979";"2023";2;;;;;;1;;;;;;;4;2;1;1;;;2;1;1;;;;
"2700009792024";"270000979";"2024";;;;;;;;;;;;;;2;;2;;;;;;;;;;
"2700010272021";"270001027";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700010272022";"270001027";"2022";;;;;;;;;;;;;;3;1;;;;;2;;;;;;
"2700010272023";"270001027";"2023";5;2;;2;;;2;;;;;;;2;;;1;2;;2;;;;;;
"2700020662021";"270002066";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"2700020662022";"270002066";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700020742021";"270002074";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700020742022";"270002074";"2022";1;;;;;;;;;;;;1;;;;;;;;;;;;;
"2700020822021";"270002082";"2021";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"2700020822022";"270002082";"2022";1;;;;;1;;;;;;;;1;;1;;;;;;;;;;
"2700021162021";"270002116";"2021";1;;;;;;1;;;;;;;1;;1;;;;;;;;;;
"2700022492021";"270002249";"2021";1;;;;;;;;;;;1;;4;1;2;1;;;1;;;1;;;
"2700022492022";"270002249";"2022";2;;;1;1;;1;;;;;;;;;;;;;;;;;;;
"2700022492023";"270002249";"2023";4;1;4;2;2;;3;;;;;;;;;;;;;;;;;;;
"2700022492024";"270002249";"2024";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700023062021";"270002306";"2021";;;;;;;;;;;;;;1;;;;1;;1;;;;;;
"2700023062022";"270002306";"2022";1;;;1;1;;;;;;;;;3;2;1;1;;;;;;;;;
"2700023062023";"270002306";"2023";6;1;;1;;;3;;;1;;;;4;1;1;;1;;2;;;;;;
"2700023222021";"270002322";"2021";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"2700023222022";"270002322";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700023552022";"270002355";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700023552023";"270002355";"2023";1;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700023892021";"270002389";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700023892022";"270002389";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700023972022";"270002397";"2022";2;;;;;;2;;;;;;;;;;;;;;;;;;;
"2700024702021";"270002470";"2021";1;;;;;;1;;;;;;;3;;1;;;1;2;;;;;;
"2700024702022";"270002470";"2022";5;1;1;;1;;4;;;;;;;5;1;;1;;;3;;;;;;
"2700024702023";"270002470";"2023";4;1;;1;;;1;;;1;;;;2;1;;;;;;;;;;;
"2700024882022";"270002488";"2022";;;;;;;;;;;;;;1;;;;1;1;;;;;;;
"2700028682023";"270002868";"2023";;;;;;;;;;;;;;1;;;;;;1;1;;;;;
"2700031892021";"270003189";"2021";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700035772021";"270003577";"2021";6;;2;;;;1;;1;;;1;1;;;;;;;;;;;;;
"2700035772022";"270003577";"2022";2;;1;1;;;;;1;;;;;1;1;1;;;;1;;;;;;
"2700036922021";"270003692";"2021";2;;1;;1;1;;;;;;;;1;1;;;;;;;;;;;
"2700036922022";"270003692";"2022";2;1;1;;;;;;;;;;;1;;;;;;1;;;;;;
"2700036922023";"270003692";"2023";1;1;;;;;;;;;;;;2;1;;1;;;1;;;;;;
"2700043282022";"270004328";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;1;
"2700075862023";"270007586";"2023";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"2700075942023";"270007594";"2023";1;1;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700079092022";"270007909";"2022";;;;;;;;;;;;;;2;1;;;;1;;;;;;;
"2700083452022";"270008345";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700083782022";"270008378";"2022";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"2700083782023";"270008378";"2023";4;;4;;;1;3;;;;;;;;;;;;;;;;;;;
"2700083862022";"270008386";"2022";1;;;;;1;;;;;;;;;;;;;;;;;;;;
"2700083942021";"270008394";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"2700084022022";"270008402";"2022";;;;;;;;;;;;;;1;1;;;;;;;;1;;;
"2700084022023";"270008402";"2023";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700084102022";"270008410";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700084102023";"270008410";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;;
"2700084772021";"270008477";"2021";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"2700084772022";"270008477";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700084772023";"270008477";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"2700085012023";"270008501";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700086342021";"270008634";"2021";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700086342022";"270008634";"2022";2;;1;;1;;;1;;;;;1;1;;;;;;;;;;;;1
"2700086592021";"270008659";"2021";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"2700086592022";"270008659";"2022";3;1;;;1;;2;;;;;;;;;;;;;;;;;;;
"2700086752022";"270008675";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700086752023";"270008675";"2023";1;;1;1;;;1;;;;;;;;;;;;;;;;;;;
"2700086912022";"270008691";"2022";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2700087662022";"270008766";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700090382022";"270009038";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;1;
"2700090532021";"270009053";"2021";;;;;;;;;;;;;;1;;;;;1;;;;;;;
"2700090532022";"270009053";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700090792021";"270009079";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"2700090792022";"270009079";"2022";1;;1;1;;;;;;;;;;;;;;;;;;;;;;
"2700090792023";"270009079";"2023";1;;1;1;;1;;;;;;;;;;;;;;;;;;;;
"2700090952021";"270009095";"2021";4;2;2;1;1;;;;;;;;;;;;;;;;;;;;;
"2700090952022";"270009095";"2022";1;;1;1;1;;;;;;;;;;;;;;;;;;;;;
"2700090952023";"270009095";"2023";1;;;;;;;;;;;;;1;;1;;;;;;;;;;
"2700091032021";"270009103";"2021";1;;1;1;;;;;;;;;;3;;1;;;;;;;;;1;1
"2700091032022";"270009103";"2022";;;;;;;;;;;;;;3;1;;;;;2;;;;;;
"2700091032023";"270009103";"2023";;;;;;;;;;;;;;5;1;1;2;1;;3;;;;;;
"2700091112021";"270009111";"2021";1;;;;;;;;;;;;1;1;;;;;;1;;;;;;
"2700091112022";"270009111";"2022";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2700091112023";"270009111";"2023";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"2700091292022";"270009129";"2022";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2700091372021";"270009137";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"2700091372022";"270009137";"2022";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"2700091372023";"270009137";"2023";3;2;3;;1;;;1;;;;;;;;;;;;;;;;;;
"2700092282021";"270009228";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2700092282022";"270009228";"2022";1;;1;;1;;;;;;;;;1;;1;;1;;1;;;;;;
"2700092282023";"270009228";"2023";;;;;;;;;;;;;;1;1;1;1;;;;;;;;;
"2700093432022";"270009343";"2022";;;;;;;;;;;;;;1;;;;;1;;;;;;;
"2700098552021";"270009855";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700099392022";"270009939";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700099702021";"270009970";"2021";;;;;;;;;;;;;;1;;;1;;;1;;;;;;
"2700100512021";"270010051";"2021";;;;;;;;;;;;;;2;;1;;;;1;;;;;;
"2700100512022";"270010051";"2022";;;;;;;;;;;;;;2;;1;;;;2;;;;;;
"2700100512023";"270010051";"2023";3;;;1;1;;;;;;;2;;;;;;;;;;;;;;
"2700100692021";"270010069";"2021";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"2700100692022";"270010069";"2022";;;;;;;;;;;;;;1;;1;1;;;;;;;;;
"2700100692023";"270010069";"2023";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"2700106972021";"270010697";"2021";1;;1;;;;;;;;;;;3;1;3;1;1;;1;;;;;;
"2700106972022";"270010697";"2022";1;;1;1;;;1;;;;;;;2;;2;2;;;1;;;;;;
"2700106972023";"270010697";"2023";;;;;;;;;;;;;;1;1;;;;;1;;;;;;
"2700107132021";"270010713";"2021";1;1;;;1;;;;;;;;;;;;;;;;;;;;;
"2700107132022";"270010713";"2022";;;;;;;;;;;;;;5;1;1;1;1;;1;;;;;;
"2700107132023";"270010713";"2023";2;;;1;1;;;;;;;;;6;1;1;3;1;;1;;;;;;
"2700110912022";"270011091";"2022";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"2700113492023";"270011349";"2023";1;;;;;;1;1;;;;;;;;;;;;;;;;;;
"2700113562023";"270011356";"2023";1;;;;1;;;;;;;;;;;;;;;;;;;;;
"2700117292023";"270011729";"2023";;;;;;;;;;;;;;1;;1;;;1;1;;;;;;
"2700122302021";"270012230";"2021";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"2700122302022";"270012230";"2022";1;;;;;;1;;;;;;;3;;;;;;2;1;1;;;;
"2700122302023";"270012230";"2023";;;;;;;;;;;;;;3;;1;;;;;;;;;;
"2700122552022";"270012255";"2022";3;1;1;1;;1;2;;;;;;;3;;2;1;;;2;;;;;;
"2700122552023";"270012255";"2023";2;;;;;;2;;;;;;;1;1;;;;;;;;1;;;
"2700122972022";"270012297";"2022";1;;1;1;1;;1;;;;;;;1;1;;;;;;;;;;;
"2700127502021";"270012750";"2021";;;;;;;;;;;;;;2;1;1;;;;1;;;;;;
"2700127502022";"270012750";"2022";2;1;1;;;;;;;;;;;3;;2;;;2;;;;;;;1
"2700127502023";"270012750";"2023";;;;;;;;;;;;;;2;;2;1;;1;;;;;;;
"2700128342023";"270012834";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"2700129582021";"270012958";"2021";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"2700129902021";"270012990";"2021";;;;;;;;;;;;;;2;1;;1;;;;;;;;;
"2700129902022";"270012990";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700130062023";"270013006";"2023";;;;;;;;;;;;;;2;;;;;;;;;2;;;
"2700130972023";"270013097";"2023";1;;;;1;;1;;1;;;;;;;;;;;;;;;;;
"2700131212021";"270013121";"2021";1;;;;;;;;;;;1;;;;;;;;;;;;;;
"2700131212022";"270013121";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700131212023";"270013121";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700133452021";"270013345";"2021";2;;1;;;;1;;;;;1;;1;1;;;1;;;;;;;;
"2700133452022";"270013345";"2022";;;;;;;;;;;;;;2;1;2;;1;;1;;;;;;
"2700133452023";"270013345";"2023";1;;;;;;;;;;;;;1;;1;;;;;;;;;;
"2700134772022";"270013477";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700134772023";"270013477";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700135272023";"270013527";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700135682021";"270013568";"2021";;;;;;;;;;;;;;1;;;;;;;;;1;;;
"2700135682022";"270013568";"2022";1;;1;1;;1;;;;;;;;;;;;;;;;;;;;
"2700137172022";"270013717";"2022";2;;;;;;2;;;;;;;;;;;;;;;;;;;
"2700137822022";"270013782";"2022";1;1;1;;;;;;;;;;;;;;;;;;;;;;;
"2700137822023";"270013782";"2023";2;1;1;;;;;;;1;;;;;;;;;;;;;;;;
"2700138082021";"270013808";"2021";1;;;;;;;;;;;1;;1;1;;;;;;;;;;;
"2700138082022";"270013808";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700138572021";"270013857";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700138572023";"270013857";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;;
"2700139232023";"270013923";"2023";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"2700139642022";"270013964";"2022";;;;;;;;;;;;;;1;;;1;;;1;;;;;;
"2700139642023";"270013964";"2023";1;1;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700140872021";"270014087";"2021";;;;;;;;;;;;;;2;1;1;;;;;1;;;;;
"2700140872022";"270014087";"2022";1;;;;;;1;;;;;;;1;;;;;;1;;;;;;
"2700140872023";"270014087";"2023";2;1;;;;;;;;;;;;3;1;1;;;;1;;;;;;
"2700140952021";"270014095";"2021";2;;1;;;;1;;;;;;;;;;;;;;;;;;;
"2700140952022";"270014095";"2022";1;1;;;1;;;;;;;;;4;;;3;;;1;;;;;;
"2700140952023";"270014095";"2023";10;2;1;5;1;;;;;;;;;1;;;;;;;;;;;;
"2700140952024";"270014095";"2024";1;;;;;;;;;;;;;;;;;;;;;;;;;
"2700154492023";"270015449";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700156392023";"270015639";"2023";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2700160582022";"270016058";"2022";;;;;;;;;;;;;;2;;1;1;;;;1;;;;;
"2700164882021";"270016488";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"2700166782022";"270016678";"2022";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"2700167282021";"270016728";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2700172392021";"270017239";"2021";1;;1;;;;;;;;;;;2;;;;;;;;;;;2;
"2700172392022";"270017239";"2022";3;2;;1;1;;2;;;;;;;5;2;1;1;;;1;;;;;;
"2700172392023";"270017239";"2023";1;;;1;1;1;;;;;;;;3;2;;1;;;;;;;;;
"2700172392024";"270017239";"2024";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"2700172882022";"270017288";"2022";;;;;;;;;;;;;;1;;;;;;;;;1;;;
"2700172882023";"270017288";"2023";2;2;;;1;;1;;;;;;;;;;;;;;;;;;;
"2700176682023";"270017668";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700178092023";"270017809";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;;
"2700180392022";"270018039";"2022";1;;;;;;1;;;;;;;1;;;;;;1;;;;;;
"2700182782022";"270018278";"2022";5;3;;1;;;3;;;;;;;1;;;;;;;;;;;;1
"2700182782023";"270018278";"2023";3;;;;1;1;3;;;;;;;4;3;1;;;;1;;;;;;
"2700188982023";"270018898";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"2700189482021";"270018948";"2021";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700191692022";"270019169";"2022";;;;;;;;;;;;;;1;;1;1;1;;;;;;;;
"2700191692023";"270019169";"2023";2;;;;;;;;;;;;;1;;;;;;;;;;;;
"2700191692024";"270019169";"2024";1;1;;;;;;;;;;;;;;;;;;;;;;;;
"2700193262022";"270019326";"2022";;;;;;;;;;;;;;1;;1;;;;1;;;;;;
"2700203812023";"270020381";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"2700212982021";"270021298";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"2700214392023";"270021439";"2023";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700226682022";"270022668";"2022";1;;;1;;;1;;;;;;;2;;;2;;;;;;;;;
"2700226682023";"270022668";"2023";;;;;;;;;;;;;;2;;1;;;;;;;1;;;
"2700234922021";"270023492";"2021";1;;;;;;1;;;;;;;2;;1;2;;;1;;;;;;
"2700234922023";"270023492";"2023";2;1;1;1;1;;;;;;;;;2;1;;1;;;;;;;;;
"2700235832022";"270023583";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"2700239142021";"270023914";"2021";2;;;;;;2;;;;;;;;;;;;;;;;;;;
"2700239142022";"270023914";"2022";1;;1;;;;;;;;;;;;;;;;;;;;;;;
"2700239142023";"270023914";"2023";2;;1;;;;;;;;;;;3;1;;;;;;;;;;;
"2700244662021";"270024466";"2021";1;;;;;;1;;;;;;;2;;;;;;1;;;;;1;
"2700244662022";"270024466";"2022";5;2;3;3;2;;5;;;;;;;2;;;;;;;2;;;;;
"2700244662023";"270024466";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"2700245242021";"270024524";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700245242022";"270024524";"2022";2;;1;1;2;;2;;;;;;;3;1;;1;1;;1;;;;;;
"2700245242023";"270024524";"2023";1;1;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700245242024";"270024524";"2024";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"2700247632022";"270024763";"2022";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"2700247632023";"270024763";"2023";1;;;;;;;;;;;;;1;;;;;;;;;;;;
"2700248622021";"270024862";"2021";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"2700249952021";"270024995";"2021";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700249952022";"270024995";"2022";1;;1;1;;;;;;;;;;2;;;1;;;1;;;;;;
"2700249952023";"270024995";"2023";2;1;;1;;;;;;;;;;1;1;;;;;;;;;;;
"2700251172022";"270025117";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700256792022";"270025679";"2022";;;;;;;;;;;;;;1;;;1;;;;;;;;;1
"2700257942023";"270025794";"2023";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2700259842021";"270025984";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2700260992023";"270026099";"2023";;;;;;;;;;;;;;1;;;;;1;;;;;;;
"2700263622022";"270026362";"2022";1;;;;;;1;;;;;;;5;3;4;;;;3;;;;;;
"2700263622023";"270026362";"2023";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2700263962021";"270026396";"2021";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"2700264042022";"270026404";"2022";;;;;;;;;;;;;;1;;;;;;1;;1;;;;
"2700269582022";"270026958";"2022";;;;;;;;;;;;;;1;1;;;;;1;;;;;;
"2700272462022";"270027246";"2022";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"2700278082023";"270027808";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"2700296892023";"270029689";"2023";;;;;;;;;;;;;;1;;;1;;;;;1;;;;
"2700298382023";"270029838";"2023";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2700300002022";"270030000";"2022";1;;;1;;;;1;1;;;;;;;;;;;;;;;;;
"2700304892023";"270030489";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"2800000272022";"280000027";"2022";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2800000272023";"280000027";"2023";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"2800000432021";"280000043";"2021";;;;;;;;;;;;;;4;;;3;;;;;;;;;1
"2800000432022";"280000043";"2022";;;;;;;;;;;;;;5;1;;;1;;1;;;;;;3
"2800000432023";"280000043";"2023";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2800000502021";"280000050";"2021";;;;;;;;;;;;;;2;;;;1;;;;;;;;1
"2800000502022";"280000050";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"2800000502023";"280000050";"2023";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2800000842021";"280000084";"2021";;;;;;;;;;;;;;7;;;5;1;;5;;;;;;
"2800000842022";"280000084";"2022";;;;;;;;;;;;;;17;;1;11;1;;2;2;;;;;2
"2800000842023";"280000084";"2023";8;1;1;5;1;;3;;;;;;;6;;;4;;;1;2;;;;;
"2800001002021";"280000100";"2021";;;;;;;;;;;;;;1;;;1;;;;1;;;;;1
"2800001002022";"280000100";"2022";1;;;1;;;;1;;;;;;;;;;;;;;;;;;
"2800001002023";"280000100";"2023";3;;;2;;1;1;;;;;;;1;;;;;;1;;;;;;
"2800001672021";"280000167";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"2800001672022";"280000167";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2800002662022";"280000266";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"2800002742022";"280000274";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2800002742023";"280000274";"2023";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"2800004492021";"280000449";"2021";;;;;;;;;;;;;;2;;;2;;;;;;;;;
"2800004492022";"280000449";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"2800004492023";"280000449";"2023";;;;;;;;;;;;;;1;;1;1;;;;;;;;;
"2800004802021";"280000480";"2021";;;;;;;;;;;;;;2;;;;;;1;;;;;;1
"2800006392021";"280000639";"2021";;;;;;;;;;;;;;1;;;;1;;1;;;;;;
"2800006472022";"280000647";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"2800006622021";"280000662";"2021";1;;;;;;;1;;;;;;5;1;3;2;;;1;;;;;;1
"2800006622022";"280000662";"2022";1;;;1;;;;;;;;;;3;;1;2;;;1;;;;;;
"2800006622023";"280000662";"2023";4;1;;2;1;;1;3;;;;;;1;;1;;;;;;;;;;
"2800006962021";"280000696";"2021";;;;;;;;;;;;;;2;;;1;;;;;;;;;1
"2800006962022";"280000696";"2022";;;;;;;;;;;;;;2;;1;;1;;1;;;;;;
"2800007042021";"280000704";"2021";;;;;;;;;;;;;;1;;1;;;;1;;;;;;
"2800007042022";"280000704";"2022";;;;;;;;;;;;;;1;;;;;;1;;;;;;
"2800007042023";"280000704";"2023";;;;;;;;;;;;;;1;;1;;;;1;1;;;;;
"2800021142022";"280002114";"2022";;;;;;;;;;;;;;2;1;;;1;;;;;;;;1
"2800021142023";"280002114";"2023";;;;;;;;;;;;;;1;1;;1;;;1;;;;;;
"2800021552022";"280002155";"2022";;;;;;;;;;;;;;3;;;1;;;;;;;;;2
"2800021632022";"280002163";"2022";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2800022542023";"280002254";"2023";1;;;;;;1;;;;;;;1;;;;;1;;;;;;;
"2800036332023";"280003633";"2023";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2800056462023";"280005646";"2023";;;;;;;;;;;;;;1;;;;;1;;;;;;;
"2800059842023";"280005984";"2023";1;;;;;1;;;;;;;;;;;;;;;;;;;;
"2800061722021";"280006172";"2021";;;;;;;;;;;;;;3;1;;;1;;2;;;;;;
"2800061722022";"280006172";"2022";;;;;;;;;;;;;;4;1;2;2;3;;1;;;;1;;1
"2800061722023";"280006172";"2023";2;1;;1;;;;;;;;;;;;;;;;;;;;;;
"2800063212022";"280006321";"2022";;;;;;;;;;;;;;1;1;;;;1;;;;;;;
"2800065292023";"280006529";"2023";;;;;;;;;;;;;;1;;;;;;;;;;;1;
"2800067682023";"280006768";"2023";2;;;;;2;;;;;;;;;;;;;;;;;;;;
"2800072612024";"280007261";"2024";1;;;1;1;;;;;;;;;;;;;;;;;;;;;
"2800073522021";"280007352";"2021";;;;;;;;;;;;;;1;;;;;1;;;;;;;
"2800075192021";"280007519";"2021";;;;;;;;;;;;;;2;;1;;;;1;1;;;;;
"2800077742022";"280007774";"2022";;;;;;;;;;;;;;1;1;;1;1;;;;;;;;
"2805000832021";"280500083";"2021";;;;;;;;;;;;;;3;;;;;;;;;;;;3
"2805000832022";"280500083";"2022";;;;;;;;;;;;;;1;;1;;;;;;;;;;
"2805000832023";"280500083";"2023";1;;;1;;;;;;;;;;;;;;;;;;;;;;
"2805001172022";"280500117";"2022";;;;;;;;;;;;;;1;1;;1;;;;;;;;;
"2805001172023";"280500117";"2023";;;;;;;;;;;;;;1;;1;1;;;1;;;;;;
"2805002082023";"280500208";"2023";1;;;;;;1;;;;;;;;;;;;;;;;;;;
"2805003802021";"280500380";"2021";;;;;;;;;;;;;;1;;;1;1;;;;;;;;
"2805003802022";"280500380";"2022";;;;;;;;;;;;;;3;1;1;2;1;;1;;;;;;
"2805003802023";"280500380";"2023";;;;;;;;;;;;;;1;1;;;;;;;;;;;
"2805004712022";"280500471";"2022";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"2805004892021";"280500489";"2021";;;;;;;;;;;;;;1;;;;;;;1;;;;;
"2805004892022";"280500489";"2022";;;;;;;;;;;;;;1;1;;;1;;;;;;;;1
"2805005052023";"280500505";"2023";1;;;;;;;;;;;;;;;;;;;;;;;;;
"2805008282021";"280500828";"2021";;;;;;;;;;;;;;1;;;;;;;;;;;;1
"2805029982021";"280502998";"2021";;;;;;;;;;;;;;1;;;1;;;;;;;;;
"2805029982022";"280502998";"2022";;;;;;;;;;;;;;3;;;;;;1;;;;;;2
"2805029982023";"280502998";"2023";2;;;2;;;;;;;;;;2;;;1;;;1;;;;;;
"2805030042022";"280503004";"2022";;;;;;;;;;;;;;1;;;1;1;;;;;;;;
"2805030122023";"280503012";"2023";;;;;;;;;;;;;;1;;;;;1;;;;;;;
